Sesja,Numer próby,Czas reakcji,Poprawność,Rodzaj bodźca
Trening,0,-,True,
Trening,1,-,True,
Trening,2,-,False,
Trening,3,-,True,
Trening,4,-,True,Niezgodny
Trening,5,-,True,
Trening,6,-,False,Niezgodny
Trening,7,-,True,Neutralny
Trening,8,-,True,
Trening,9,-,True,Neutralny
Trening,10,-,False,Neutralny
Trening,11,-,False,Niezgodny
Trening,12,-,True,
Trening,13,-,True,
Trening,14,-,True,Niezgodny
Trening,15,-,True,Niezgodny
Trening,16,-,False,Neutralny
Trening,17,-,True,
Trening,18,-,False,
Trening,19,-,False,
Trening,20,-,False,Neutralny
Trening,21,-,False,Niezgodny
Trening,22,-,False,Neutralny
Trening,23,-,False,Neutralny
Trening,24,-,True,
Trening,25,-,True,Niezgodny
Trening,26,-,False,Neutralny
Trening,27,-,False,Neutralny
Trening,28,-,False,
Trening,29,-,True,
Trening,30,-,True,
Trening,31,-,False,Neutralny
Trening,32,-,True,Niezgodny
Trening,33,-,True,Niezgodny
Trening,34,-,True,
Trening,35,-,False,Neutralny
Trening,36,-,True,
Trening,37,-,False,Niezgodny
Trening,38,-,True,
Trening,39,-,False,Niezgodny
Trening,40,-,True,Neutralny
Trening,41,-,False,Niezgodny
Trening,42,-,True,
Trening,43,-,False,
Trening,44,-,False,Neutralny
Trening,45,-,False,
Trening,46,-,False,Niezgodny
Trening,47,-,True,
Trening,48,-,False,Neutralny
Trening,49,-,True,
Trening,50,-,True,Niezgodny
Trening,51,-,False,
Trening,52,-,False,Neutralny
Trening,53,-,True,Niezgodny
Trening,54,-,True,Neutralny
Trening,55,-,True,
Trening,56,-,True,
Trening,57,-,False,
Trening,58,-,False,Neutralny
Trening,59,-,False,
Eksperyment,0,656,True,
Eksperyment,1,471,True,Neutralny
Eksperyment,2,415,True,Niezgodny
Eksperyment,3,210,False,
Eksperyment,4,324,True,Neutralny
Eksperyment,5,241,True,Niezgodny
Eksperyment,6,246,False,
Eksperyment,7,231,False,
Eksperyment,8,393,False,
Eksperyment,9,250,True,Neutralny
